,committee,date,congress,page
2199,"Cmte on instructions of LA legislature, r",1814-03-07,13,13
2200,Cmte on HR bill to authorize loan not exceeding $25m,1814-03-09,13,13
2201,"Cmte on HR bill to amend law laying duties on sales at auction of
merchandize & of ships & vessels",1814-03-10,13,13
2202,"Cmte on petition of William Marbury & others, water for G'town",1814-03-10,13,13
2203,"cmte on Giles's motion to consider expediency of permanent rules
for regulating and conducting printed of Senate",1814-03-10,13,13
2204,Cmte to whom recommitted bill for supreme court library,1814-03-11,13,13
2205,Cmte on HR bill making appropriations for 1814,1814-03-11,13,13
2206,Cmte on HR bill for relief of Joshua Sands,1814-03-14,13,13
2207,"Cmte on petition of Charles Carroll & others, Trinity Church,
G'town, with leave to report by bill or otherwise",1814-03-14,13,13
2208,Cmte on Sec of War's report on George Ulmer,1814-03-16,13,13
2210,"Cmte on petition of Stephen Girard, refund of duties",1814-03-18,13,14
2211,Cmte on petition of Robert Paterson & others,1814-03-18,13,14
2212,Cmte on HR bill to alter time for holding district courts for VA,1814-03-21,13,14
2213,Cmte on HR bill declaring consent to TN act,1814-03-21,13,14
2214,Cmte on HR bill for relief of Seth Russell & sons,1814-03-21,13,14
2215,Cmte on HR bill for additional post routes,1814-03-21,13,14
2216,"Cmte of Conference on bill for better org, paying, & supply of
army",1814-03-23,13,14
2217,Cmte on HR bill for relief of Samuel Ellis,1814-03-24,13,14
2218,Jt cmte on permanent rules for printing of Senate & HR,1814-03-24,13,14
2219,"cmte discharged (but
did make report earlier)",1814-03-25,13,14
2220,"Cmte of Conference on bill for better org, pay, & supply
army",1814-03-28,13,14
2221,Cmte on Hr bill for better organization of US courts in NY,1814-03-29,13,14
2222,Cmte on memorial of Bowie & Kurtz & others,1814-03-30,13,14
2223,"Cmte on Stone's bill making Elizabeth City poet of entry &
delivery for Camden district",1814-03-31,13,14
2225,"Cmte on petition of William Thornton, patent office, with leave
to report by bill or otherwise",1814-04-05,13,15
2226,"Cmte on HR bill authorizing subscription for laws of US & for
distribution thereof",1814-04-05,13,15
2227,"Cmte on petition of William Simmons with leave to report by bill
or otherwise",1814-04-05,13,15
2228,Cmte on Bibb(KY)'s bill to prolong DC bank charters,1814-04-06,13,15
2229,Cmte of conference on bill declaring consent to TN acts,1814-04-07,13,15
2230,Cmte on bill incorporating Columbia Manufacturing Company,1814-04-09,13,15
2231,"Cmte on HR bill to amend act laying duties on licenses to
rétailers of wine, etc",1814-04-14,13,15
2232,Jt cmte to wait on PUS,1814-04-15,13,15
2233,"Cmte on nomination Tench Coxe as collector for 1st collection
district of PA",1814-04-18,13,15
2234,"Cmte on nominations of Rifle regiment, received Feb 17",1814-01-21,13,15
2235,Cmte on all naval nominations,1814-02-18,13,15
2236,"Cmte on nominations promoting field officers in 7th, 8th, 9th,
loth, Lith, 12th, 14th,",1814-02-25,13,15
2237,Cmte on all nominations not yet acted on,1814-03-02,13,15
2238,Cmte on nomination of Return J,1814-03-04,13,15
2239,,1814-03-08,13,15
2240,"Cmte on nominations in lists A, B, C & not acted on",1814-03-26,13,16
2241,Jt cmte to wait on PUS,1814-09-19,13,16
2242,Cmte 42nd rule,1814-09-20,13,16
2243,Cmte 22nd rule,1814-09-20,13,16
2244,Jt cmte on enrolled bills,1814-09-20,13,16
2245,cmte; Howell absent,1814-09-21,13,16
2246,"Cmte on memorial of IN territorial legislature, re public lands
with leave to report by bill or otherwise",1814-09-21,13,16
2247,Cmte on standing rules of Senate,1814-09-22,13,16
2249,"cmte on military affairs Jan 16,
inexpedient to call forth militia upon principles (Varnum's
motion: authorize PUS to call on each state for quota of 80,000
troops to take field April 1)",1814-09-22,13,17
2250,"cmte on Giles's motion on so much of PUS's message as relates to
military affairs with leave to report by bill or otherwise",1814-09-23,13,17
2255,"cmte on naval
affairs",1814-04-18,13,18
2256,"Cmte on Fromentin's motion that in furtherance of resolution

agreed to on April 18, 1814 there shall be printed as many copies
of the documents ordered to be printed by the senate as there are
printed copies of the journal",1814-09-23,13,18
2257,"Cmte on Tait's motion on so much of PUS's message as relates to
naval affairs",1814-09-23,13,18
2258,"cmte, r",1814-09-26,13,18
2259,"cmte to
inquire into expediency of making provision by law in relation to

‘officers & crews of certain vessels",1814-09-30,13,18
2264,"Cmte on Lacock's motion to inquire into extent of injury done
capitol, & other public buildings & best means of preserving from
further damage by weather",1814-10-04,13,19
2265,"Cmte on HR bill to extend right of suffrage to MS territory &
increase # on legislative council",1814-10-11,13,19
2266,"Cmte on memorial of Washington Bowie with leave to report by bill
or otherwise",1814-10-14,13,19
2267,"Cmte on Bibb's motion on PUS's message & documents together with
communications made since the beginning of the session on foreign
affairs",1814-10-14,13,19
2268,"cmte to inquire into expediency of making
provision to release certain claims of US",1814-10-18,13,19
2269,"cmte
to inquire whether any of laws respecting foreign intercourse
ought to be repealed or modified, on motion by Bibb",1814-10-24,13,19
2270,"cmte discharged from
further consideration of Justin & Elias Lyman's petition; on
motion by Chace, cmte instructed to consider expediency of making
further provisions for collection of revenue",1814-10-25,13,19
2271,"Cmte on Peter Landais, with leave to report by bill or otherwise",1814-10-26,13,19
2272,"Cmte of conference on resolution praising & rewarding General
Brown, Major-general Scott, & Brigadiers Ripley, Miller, Porter,
Gaines, Macomb",1814-10-31,13,19
2276,"emte on petition of Thomas Sloo with leave to report by bill or
otherwise",1813-06-04,13,2
2277,"emte on petition of Bank of Washington with leave to report by
bill or otherwise",1813-06-04,13,2
2278,"Cmte on memorials of Stephen Girard & others, r",1813-06-07,13,2
2279,"cmte on petition of Joshua Barney, private armed ships & prizes
with leave to report by bill or otherwise",1813-06-07,13,2
2280,"Cmte on memorial of president & directors of Farmers' Bank of
Alexandria praying extension of charter with leave to report by
bill or otherwise",1813-06-07,13,2
2281,Cmte on Brent's bill for accommodation of PUS,1813-06-07,13,2
2282,Cmte on petition of J,1813-06-07,13,2
2283,"Cmte on Tait's bill to alter times of holding district court in
6th district",1813-06-08,13,2
2284,"cmte to whom recommitted bill to amend law for calling forth
militia, etc",1813-06-08,13,2
2285,"Cmte on PUS's message of June 5, r",1813-06-08,13,2
2286,"Cmte on memorial of John Gooding & Hollins & M'Blair with leave
to report by bill or otherwise",1813-06-11,13,2
2287,"cmte to whom recommitted bill to incorporate Fire Insurance

Company of Alexandria",1813-06-14,13,2
2288,,1813-06-15,13,2
2289,Cmte on HR bill authorizing loan not exceeding $3m,1814-11-01,13,20
2290,"Cmte on memorial of Oliver Evans with leave to report by bill or
otherwise",1814-11-02,13,20
2291,"Cmte on petition of Edward Barry, sailing master, & George Hodge, ©
boatswain, with leave to report by bill or otherwise",1814-11-05,13,20
2292,"cmte to wait on PUS, r",1814-11-09,13,20
2293,"Cmte on HR substitution to Senate amendments to bill authorizing
loan",1814-11-09,13,20
2294,"cmte on conference on bill authorizing PUS to cause to be built
or buy ships mentioned therein",1814-11-10,13,20
2295,Cmte on conference on loan bill,1814-11-10,13,20
2296,"Cmte on HR bill for relief of John Chalmers, JR",1814-11-14,13,20
2297,"Cmte on HR bill for relief of John Castille, of New Orleans",1814-11-16,13,20
2298,"Cmte on HR bill authorizing commissioner of revenue to cause a
clerk in his office to aid him in signing licenses",1814-11-16,13,20
2299,emte on Gerry's death,1814-11-23,13,20
2300,Cmte on petition of Henry Nimmo,1814-11-26,13,20
2301,"Cmte on HR bill to provide additional revenue by laying duties on
spirits distilled in US & amending law laying duties on licenses
to distillers",1814-12-01,13,20
2302,"emte on Bibb's motion to consider expediency of appropriating
lands reserved for schools in MS with leave to report by bill or
otherwise",1814-12-03,13,21
2303,Cmte on petition of John C,1814-12-05,13,21
2304,"Cmte of Conference on bill laying duties on spirits distilled in
US",1814-12-14,13,21
2305,"Cmte of Conference on bill authorizing PUS to call on states to
meet quotas for militia",1814-12-23,13,21
2306,"Cmte on memorial of William Gamble with leave to report by bill
or otherwise",1814-12-23,13,21
2307,Cmte on CT petitions on Sunday mail,1815-01-05,13,21
2308,"Cmte on representation of commissioners, land in MS with leave to
report by bill or otherwise",1814-12-26,13,21
2309,"Jt cmte on Daggett's motion to consider permanent rules for
regulating expenses for printing, etc",1814-12-26,13,21
2310,Cmte on death of Brent,1814-12-29,13,21
2311,"Cmte to prepare bill allowing drawbacks of duties imposed on
goods, wares, & merchandize manufactured in US to be exported",1814-12-30,13,21
2312,"Cmte on HR bill providing for indemnification of certain

claimants of public lands in MS",1815-01-03,13,21
2313,,1815-01-03,13,21
2314,"Cmte of conference on bill laying duties on saddles, carriages,
and gold or silver watches",1815-01-05,13,22
2315,"Cmte of conference on bill laying duties on various goods, wares,
merchandise made within US",1815-01-03,13,22
2316,"Cmte on PUS's message of Jan 2 with Sec of T's report, r",1815-01-06,13,22
2317,Cmte on petition of Littleburg E,1815-01-07,13,22
2318,"Cmte on petition of Robert Kid with leave to report by bill or
otherwise",1815-01-09,13,22
2319,"cmte on memorial of MS territorial legislature for additional
judge",1815-01-09,13,22
2320,Cmte on HR amendments to BUS bill,1815-01-09,13,22
2321,Cmte on HR bill for relief,1815-01-13,13,22
2322,"cmte on Washington
Bridge Company",1815-01-13,13,22
2323,Cmte on HR bill for relief of William Robinson & others,1815-01-17,13,22
2324,"Cmte on memorials from MS territories, r",1815-01-17,13,22
2325,"Cmte of Conference on bill authorizing PUS to accept services of
volunteers who may offer services",1815-01-18,13,22
2326,"Cmte on HR bills laying direct tax & laying duties on household
furniture, etc",1815-01-18,13,22
2328,Cmte on HR bill for relief of Benjamin Wells & others,1815-01-23,13,23
2329,Cmte to whom recommitted bill for relief of Bowie & Kurtz,1815-01-24,13,23
2330,Cmte on HR bill for relief of William Arnold,1815-01-25,13,23
2331,"cmte to whom recommitted bill to prohibit intercourse with enemy
(after engrossed)",1815-01-27,13,23
2332,emte on HR bill for relief of Isaac Smith & Bratton Caldwell,1815-01-28,13,23
2333,"emte on HR bill: for relief of Saltus, Son, & Co, merchants of
Nyc",1815-02-04,13,23
2334,cmte on HR bill for IN courts,1815-02-04,13,23
2335,"emte on HR bill, appropriations for 1815",1815-02-04,13,23
2336,"cmte -> Daggett, Brown
(Taylor moved)",1815-02-06,13,23
2337,"Cmte to whom recommitted HR bill laying direct tax & bill laying
duty on household furniture & gold & silver watches (after
engrossed)",1815-02-07,13,23
2338,"Cmte on HR bill for relief of legal representatives of David
Darden",1815-02-07,13,23
2339,Cmte on HR bill for College of Georgetown,1815-02-07,13,23
2340,"Cmte on petition of Nicholas Boilevin with leave to report by
bill or otherwise",1815-02-13,13,23
2341,Cmte on petition of Edward Martin,1815-02-14,13,23
2343,Cmte on petition of Thomas Law & others,1815-02-16,13,24
2344,"Cmte on Lacock's motion to consider expediency of increasing
salary of Senate's sgt-at-arms with leave to report by bill or
otherwise",1815-02-16,13,24
2345,"Jt Cmte on Horsey's motion to consider expediency of altering
current chambers for HR and Senate for better accommodation of
them",1815-02-16,13,24
2346,"Cmte on Morrow's motion to inquire whether law for establishing
trading houses with Indians which will expire at end of session
should be continued with leave to report by bill or otherwise",1815-02-17,13,24
2347,"Cmte on petition of John Frothingham & Arthur Tappan with leave
to report by bill or otherwise",1815-02-18,13,24
2348,"Cmte on Smith's motion to consider expediency of repealing all
acts or parts of acts laying additional duties on goods, wares,
and merchandise imported in ships of foreign nations and of US
with leave to report by bill or otherwise",1815-02-18,13,24
2349,Cmte on petition of James Lamb,1815-02-20,13,24
2350,"Cmte on Barbour's motion to establish naval harbor in Chesapeake
bay",1815-02-20,13,24
2351,"Cmte on Dana's motion to consider what privileges should be
secured by law to citizens of US as preferable to foreign
subjects in navigation with leave to report by bill or otherwise",1815-02-20,13,24
2352,Cmte on HR bill for relief of Edward Hallowell,1815-02-20,13,24
2353,"Cmte on parts of PUS's message of Feb 20, r",1815-02-21,13,24
2354,"cmte
discharged",1815-02-22,13,24
2356,Cmte on HR bill for better organization of US courts in NY,1815-02-22,13,25
2357,Cmte on HR bill to alter & establish certain post roads,1815-02-22,13,25
2358,"Cmte to whom recommitted bill to continue in force law for Indian
trading houses",1815-02-22,13,25
2359,"Cmte on Anderson's motion to consider expediency of making
provision by law for running boundary lines designated in treaty
between US & Creeks with leave to report by bill or otherwise",1815-02-22,13,25
2360,Cmte of Conference on resolution thanking AJ,1815-02-22,13,25
2361,"Cmte on HR bill for relief of Solomon Frazer & representatives of
Charles Eccleston",1815-02-24,13,25
2362,Cmte on HR bill discharging Anthony B,1815-02-24,13,25
2363,"Cmte of Conference on bills for direct tax and laying duties on
household furniture & gold & silver watches",1815-02-25,13,25
2364,"Cmte on HR bill fixing compensations and increase
responsibilities of collectors of direct tax",1815-02-25,13,25
2365,"Jt cmte to wait on PUS for day of humiliation, fasting, & prayer",1815-02-25,13,25
2366,"Cmte on memorial of mayor, aldermen, & common council of NY",1815-02-25,13,25
2367,"Cmte on HR bill vesting more effectually in state and US district
courts",1815-03-02,13,25
2368,Cmte to carry confidential bill to HR,1815-03-02,13,25
2369,Cmte of conference on military establishment bill,1815-03-03,13,25
2370,Jt cmte to wait on PUS,1815-03-03,13,25
2371,Cmte on nominations,1814-10-14,13,26
2372,cmte on naval affairs,1815-10-15,13,26
2373,cmte on nomination of Joseph Wheaton,1814-10-18,13,26
2374,Cmte on nomination of Daniel Parker,1814-10-31,13,26
2375,Cmte on nomination of A,1814-11-17,13,26
2376,Cmte on treaty between US and Creeks,1814-12-02,13,26
2377,Cmte on several nominations,1814-12-13,13,26
2378,Cmte on nomination of Aaron Hill & Edward Tappan,1814-12-22,13,26
2379,Cmte on all nominations that have not yet been acted on,1814-12-28,13,26
2380,"cmte on military affairs nominations to military
appointments made Feb 7",1815-01-18,13,26
2381,cmte on naval affairs nominations,1815-02-13,13,26
2382,,1815-02-28,13,26
2383,"Cmte on HR bills to incorporate company for making certain
turnpike road in WDC and to incorporate company for making
certain turnpike road in Alexandria",1813-06-16,13,3
2384,"cmte on Dana's motion to inquire what legislative provision
necessary to prevent multiplicity of suits or process with leave
to report by bill or otherwise",1813-06-16,13,3
2385,"emte on Leib's motion to consider expediency of making
appropriation for repair of north wing of capitol & finishing
Senate chamber",1813-06-18,13,3
2386,"cmte on petition of Alexander Scott with leave to report by bill
or otherwise",1813-06-21,13,3
2387,"gmte to bring bill for relief of Stephen Girard & others
(petition presented last session)",1813-06-22,13,3
2388,cmte on Chace's bill to alter time for holding istrict courts,1813-06-24,13,3
2389,"cmte to whom recommitted petition of Joshua Barney & others with
leave to report by bill or otherwise",1813-06-24,13,3
2390,"Cmte on petition of Elisha Winter with leave to report by bill or
otherwise",1813-06-25,13,3
2391,Cmte on petition of Richard Ward,1813-07-01,13,3
2392,cmte on petition of PA Academy of Fine Arts,1813-07-02,13,3
2393,"\emte on HR bill for assessment & collection of direct tax &
internal duties",1813-07-06,13,3
2394,"Cmte on Worthington's bill for payment of wagons & teams captured
& destroyed at Detroit",1813-07-06,13,4
2395,emte on necessary business & ad$ourament,1813-07-07,13,4
2396,Cmte on Robinson's bill to relief of Thomas Hall Storm,1813-07-07,13,4
2397,Cmte on HR bill to establish town of Mobile as port of entry,1813-07-13,13,4
2398,mte on HR bill for relief of Edwin T,1813-07-16,13,4
2399,Cmte on petition of John G,1813-07-16,13,4
2400,cmte on report of Sec of War on William Tatham,1813-07-16,13,4
2401,"Cmte on Fromentin's bill to establish district court in MS
territory",1813-07-20,13,4
2402,"Cmte to wait on PUS, r",1813-07-20,13,4
2403,Cmte on HR amendments to bill on uniform rule of naturalization,1813-07-21,13,4
2404,Cmte on memorial of Ichabob Crane & Roger Jones,1813-07-24,13,4
2405,"cmte report that Sec of War
should make report in such form as can tell regular & irregular

promotions",1813-07-24,13,4
2406,"cmte to whom recommitted HR amendment to bill on uniform rule of
naturalization",1813-07-24,13,4
2407,Cmte on Hr bill concerning invalid pensioners,1813-07-27,13,4
2409,emte of conference on bill to lay & collect direct taxes,1813-07-27,13,5
2410,"Cmte of Conference on bill laying duties on licenses to retailers
of wines, etc",1813-07-27,13,5
2411,"Cmte of Conference on bill laying duties on bank notes, etc",1813-07-29,13,5
2412,emte on HR bill for relief of George Lyon,1813-07-31,13,5
2413,Jt cmte to wait on PUS,1813-08-02,13,5
2414,cmte on foreign relations,1813-07-28,13,5
2415,Cmte to carry embargo bill & amendments to HR,1813-06-02,13,5
2416,Cmte on nomination of Jonathan Russell & King's resolution,1813-06-10,13,5
2417,Cmte on nomination of Gallatin & PUS message of June 7,1813-06-14,13,5
2418,"Cmte on nomination of Jonathan Russell, Goldsborough's res, & PUS
message of June 7",1813-06-24,13,5
2419,cmte on nominations of S,1813-06-24,13,5
2420,"Cmte on Leib's motion on all nominations contained in PUS message
of ? which have not otherwise been decided",1813-06-28,13,5
2421,"Cmte on nominations received June 22, nominating Paul Hamilton",1813-07-24,13,5
2422,"Cmte on motion that messages of PUS & proceedings of Senate on
nominations of Jonathan Russell, Albert Gallatin be published",1813-07-24,13,5
2423,Cmte on Nominations made July 23,1813-07-31,13,5
2425,"Cmte on nominated made on July 23, not already acted on",1813-07-31,13,6
2426,Jt cmte to wait on PUS,1813-12-06,13,6
2427,Cmte 42nd rule (Leib's motion),1813-12-07,13,6
2428,Jt cmte on enrolled bills,1813-12-08,13,6
2429,"cmte in place of Bledsoe, leave of
absence for rest of session

Cmte on Tait's motion on so much of PUS's message, re foreign
relations with leave to report by bill or otherwise",1813-12-09,13,6
2431,"cmte to consider expediency of
prohibiting export & transportation of sheep from US",1813-12-09,13,7
2432,"Cmte on Tait's motion amended by Bledsoe, on so much of PUS's
message, r",1813-12-09,13,7
2434,Cmte 22nd rule,1813-12-10,13,8
2435,Jt Cmte on library,1813-12-11,13,8
2436,Cmte on Hr bill to transmit certain documents free,1814-03-01,13,8
2437,Cmte to carry confidential message to HR,1813-12-11,13,8
2438,Cmte on petition of Chesapeake & DE canal company,1813-12-16,13,8
2439,Cmte on petition of Robert E,1813-12-17,13,8
2440,cmte discharged,1813-12-21,13,8
2441,Cmte on petition of Joseph Brevard,1813-12-28,13,8
2442,"cmte discharged from consideration of Jarvis
petition",1813-12-29,13,8
2443,Cmte on petition of Nantucket,1813-12-29,13,8
2444,Cmte on petition of Richard Ward,1814-01-03,13,8
2445,Cmte on HR bill to appoint additional judge for MO territory,1814-01-03,13,8
2447,"Cmte on Horsey's motion to consider whether acts of Congress
relating to general promulgation of laws require any amendments
with leave to report by bill or otherwise",1814-01-03,13,9
2448,Cmte on memorial of Union Bank of Alexandria,1814-01-05,13,9
2449,"Cmte on motion by Chace on petition of Simeon Knight, district
paymaster, presented April 24, 1812, together with report of
paymaster general thereon with leave to report by bill or
otherwise",1812-04-24,13,9
2450,"Cmte on Worthington's motion on HR bill granting Moses Hook right
of preemption",1814-01-05,13,9
2451,"Cmte on petition of Isaac M'Pherson & others, r",1814-01-06,13,9
2452,"Cmte on petition of Paul Cuffe with leave to report by bill or
otherwise",1814-01-06,13,9
2453,"Cmte on petition of Isaac Clason with leave to report by bill or
otherwise",1814-01-07,13,9
2454,emte on foreign affairs,1814-01-07,13,9
2455,Cmte on petition of Washington Library Company,1814-01-07,13,9
2456,"Cmte on Bledsoe's motion to inquire into expediency of making
further regulations for internal navigation of waters of US with
leave to report by bill or otherwise",1814-01-10,13,9
2457,"Cmte on Dana's bill concerning evidence in cases of
naturalization",1814-01-10,13,9
2458,"Cmte on Daggett's motion to consider propriety of making certain
provision concerning fees or costs of courts of US with leave to
report by bill or otherwise",1814-01-10,13,9
2459,"Cmte on memorial of New England Mississippi Land Company with

leave to report by bill or otherwise",1814-01-11,13,9
2460,Jt cmte to wait on PUS,1815-12-04,14,1
2461,Jt cmte on buildings on Capitol Hill,1815-12-04,14,1
2462,Cmte 42nd rule,1815-12-04,14,1
2463,Cmte on enrolled bills,1815-12-04,14,1
2464,Cmte 22nd rule,1815-12-04,14,1
2465,Jt cmte on library,1815-12-04,14,1
2466,Cmte on petition of Joseph C,1815-12-06,14,1
2467,"Cmte on petition of Jacob Babbitt with leave to report by bill or
otherwise",1815-12-06,14,1
2468,"Cmte on MS territory legislature's memorial, r",1815-12-07,14,1
2472,emte on necessary business & adjournment,1816-03-22,14,10
2473,"emte on petition of Nehemiah Hubbard, Middletown port of entry,
with leave to report by bill or otherwise",1816-03-26,14,10
2474,"emte on petition of Daniel Carroll of Duddington, r",1816-03-27,14,10
2475,"Cmte on HR bill regulating & defining duties of judges in IL;
jurisdiction of IN courts",1816-04-02,14,10
2476,"emte on HR bill for discharge of Ebenezer Keeler and John Francis
from imprisonment",1816-04-02,14,10
2477,"Jt Cmte to inquire into expediency of making alterations in mode
of transacting business of Congress",1816-04-03,14,10
2478,cmte on HR bill making appropriations for 1816,1816-04-04,14,10
2479,"emte on memorial of William Gerrard & others, land commissioners,
with leave to report by bill or otherwise",1816-04-05,14,10
2480,"emte to whom recommit bill for division of PA into 2 judicial
districts",1816-04-06,14,10
2481,cmte discharged,1816-04-12,14,10
2482,cmte on Hr bill for relief of Joseph Wheaton,1816-04-13,14,10
2483,"Cmte on HR bill to alter certain parts of act providing for govt
of MO",1816-04-15,14,10
2485,"emte on Roberts' motion on PUS's message of April 11,
recommending establishment of distinct office within State dept
for patents",1816-04-15,14,11
2486,"cmte
discharged on motion by Roberts",1816-04-16,14,11
2487,"emte on Wilson's motion on resolution requiring Sec of State to
compile and print every 2 years register of all officers and
agents, civil, military, & naval",1816-04-16,14,11
2488,Cmte on HR bill supplement to law to regulate trade with Indians,1816-04-17,14,11
2489,"Cmte on HR bill fixing compensation of Sec of Senate & Clerk of
HR",1816-04-17,14,11
2490,Cmte on HR bill for relief of Moses Turner,1816-04-20,14,11
2491,"cmte on HR bill making appropriation for enclosing & improving
public square near the capitol, etc",1816-04-20,14,11
2492,"Cmte on HR bill providing additional compensation to district
judge of southern district of NY",1816-04-23,14,11
2493,Cmte on Hr bill authorizing payment of $ to John Rogers & others,1816-04-25,14,11
2494,Cmte on HR bill for invalid pensioners,1816-04-27,14,11
2495,"cmte of Conference on bill fixing compensation for Sec of Senate
and clerk of HR",1816-04-30,14,11
2496,Jt cmte to wait on PUS,1816-01-09,14,11
2497,Cmte on nomination of William Gamble,1816-02-14,14,11
2498,"cmte discharged & referred to cmte on
military affairs",1816-04-23,14,11
2500,emtes,1816-12-02,14,12
2501,Cmte on necessary measures for admitting IN as state,1816-12-02,14,12
2502,"cmte discharged (already reported & senate adopted
resolution)",1816-12-02,14,12
2503,Cmte 42nd rule,1816-12-02,14,12
2504,Jt cmte to wait on PUS,1816-12-02,14,12
2505,Cmte 22nd rule,1816-12-02,14,12
2506,Jt cmte on library,1816-12-04,14,12
2507,Jt cmte on enrolled bills,1816-12-05,14,12
2508,cmtes --13 cmtes in all,1816-12-05,14,12
2509,cmtes,1816-12-09,14,12
2510,Cmte on petition of Robert Kid,1816-12-11,14,12
2511,"Cmte on Varnum's motion, as amended, to repeal compensation law
for Congress",1816-12-13,14,12
2532,Cmte on PO and post roads,1816-12-13,14,15
2533,Cmte on pensions,1816-12-13,14,15
2534,"Cmte on so much of PUS's message, re weights & measures with
leave to report by bill or otherwise",1816-12-13,14,15
2535,"Cmte on so much of PUS's message, re National University with
leave to report by bill or otherwise",1816-12-13,14,15
2536,"Cmte on so much of PUS's message as relates to roads & canals
with leave to report by bill or otherwise",1816-12-13,14,15
2537,"Cmte on so much of PUS's message as relates to slave trade with
leave to report by bill or otherwise",1816-12-16,14,15
2538,"cmte on so much of PUS's message as relates to making AG member
of cabinet",1816-12-18,14,15
2539,Cmte on petition of Thomas Law & others,1817-01-07,14,15
2540,Cmte on Mason(VA)'s motion on DC (standing cmte,1817-01-13,14,15
2541,Cmte on MS statehood,1817-01-15,14,15
2542,"Cmte on Williams motion to consider expediency of purchasing
copies of late edition of US laws",1817-01-20,14,15
2543,"cmte on resolution to authorize PUS to commission paintings from
John Trumbull",1817-01-24,14,15
2546,"Cmte to whom recommitted bill to establish separate territorial
govt for eastern part of MS",1817-01-31,14,16
2547,"Cmte on resolution for furnishing each member with copy of US
laws passed during preceding session",1817-02-03,14,16
2548,Jt cmte on mode of counting votes for PUS and VP,1817-02-14,14,16
2549,"Cmte on Fromentin's motion to amendment journals of proceedings
relating to election of PUS & VP (Feb 12) so as to make them
conformable to former precedents on similar occasions with
instructions to revise",1817-02-14,14,16
2550,"Cmte to whom recommitted bill to amend law paying for property
lost, etc by enemy while in military service of US with :
instructions to conform bill to amendments made by Senate",1817-02-25,14,16
2551,Jt cmte on absolutely necessary business,1817-03-01,14,16
2552,"Cmte to make necessary arrangements for reception of PUS on
inauguration",1817-03-03,14,16
2553,Jt cmte to wait on PUS,1817-03-05,14,16
2554,cmte assignments,1817-03-05,14,16
2555,Cmte on nomination of Claude Crozet,1817-03-05,14,16
2558,"Cmte on Bibb's motion on so much of PUS's message as relates to
foreign affairs with leave to report by bill or otherwise",1815-12-11,14,2
2559,"Cmte on Bibb's motion on so much of PUS's message as relates to
militia with leave to report by bill or otherwise",1815-12-12,14,2
2560,"Cmte on Bibb's motion on so much of PUS's message as relates to
military affairs with leave to report by bill or otherwise",1815-12-11,14,2
2565,"Cmte on Bibb's motion on so much of PUS's message as relates to
finance & uniform currency with leave to report by bill or
otherwise",1815-12-11,14,4
2566,"cmte to consider expediency of confining the payment of all taxes
& other moneys due US to specie, treasury notes, & notes of such
banks as are in the practice of redeeming their notes with
specie",1815-12-11,14,4
2571,"cmte discharged from further
consideration of instructions",1815-12-11,14,5
2572,"Cmte on Bibb's motion on so much of PUS's message as relates to
national seminary of learning within DC with leave to report by
bill or otherwise",1815-12-13,14,5
2573,"Cmte on petition of John Duckworth, Jr",1815-12-14,14,5
2574,"Cmte on petition of John Thompson with leave to report by bill or
otherwise",1815-12-14,14,5
2575,"emte on petition of mayor, alderman, & inhabitants of New Orleans
with leave to report by bill or otherwise",1815-12-18,14,5
2576,"cmte on petition for Orphan Asylum of Washington with leave to
report by bill or otherwise",1815-12-19,14,5
2577,"Cmte on Barbour's motion to inquire into justice and expediency
of extending relief to officers & soldiers of VA in revolutionary
war",1815-12-21,14,5
2578,"cmte on MS territorial legislature's memorial, extra judge, with
leave to report by bill or otherwise",1815-12-22,14,5
2579,"Cmte on petitions from Beaver County, against delivering mail on
sundays, with leave to report by bill or otherwise",1815-12-26,14,5
2580,"Cmte on Dana's bill relative to evidence in cases of
naturalization",1815-12-26,14,5
2581,"Cmte on memorial of Thomas Murray with leave to report by bill or
otherwise",1815-12-26,14,5
2582,"Cmte on petition of Walter Sims with leave to report by bill or
otherwise",1816-01-02,14,5
2587,"Cmte on petition of David Porter with leave to report by bill or
otherwise",1816-01-02,14,6
2588,"Cmte on petition of Sarah Jarvis with leave to report by bill or
otherwise",1816-01-02,14,6
2589,cmte discharged & petition referred to Sec of T,1816-01-02,14,6
2590,"Cmte on petition of Robert White, pension, with leave to report
by bill or otherwise",1816-01-04,14,6
2591,"cmte on petition of John Longden, mechanics! relief society of
Alexandria, with leave to report by bill or otherwise",1816-01-05,14,6
2592,"Cmte on William's motion to inquire into expediency of selling a
lot in Knoxville",1816-01-09,14,6
2593,Cmte on petition of John L,1816-01-10,14,6
2594,"emte on Fromentin's motion to inquire into propriety of
increasing salaries of officers of the Senate",1816-01-11,14,6
2595,cmte on HR bill for relief of Henry Fanning,1816-01-11,14,6
2596,"emte on Wilson's motion to inquire into expediency of revising
and digesting laws on subject of naturalization",1816-01-12,14,6
2597,"emte on petition of James Tilton with leave to report by bill or
otherwise",1816-01-15,14,6
2598,cmte discharged & petition referred to Sec of War,1816-01-17,14,6
2599,"Cmte on HR bill for discharge of James Jewett from his
imprisonment",1816-01-17,14,6
2605,emte on HR bill for relief of John G,1816-01-22,14,7
2606,"Cmte on HR bill for relief of Jonathan Rogers, Jr",1816-01-22,14,7
2607,"Cmte to whom recommitted bull to fix compensation of Senate
officers",1816-01-23,14,7
